family,seed,branch,generation,run_dir,model_outputs_rows,extraction_rows,accuracy_rows,judge_rows,eval_merged_rows,sample_count_summary,stage_manifest_status,run_stage_status,mismatch_flag
dbr_confirmatory_211_213,211,dbr_medium,0,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,211,dbr_medium,1,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,211,dbr_medium,2,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,211,pure_recycling,0,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,211,pure_recycling,1,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,211,pure_recycling,2,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,211,soft_pvf_noisy_keep,0,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,211,soft_pvf_noisy_keep,1,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,211,soft_pvf_noisy_keep,2,outputs\runs\dbr_confirmatory_seed211_20260428_222918,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,212,dbr_medium,0,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,212,dbr_medium,1,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,212,dbr_medium,2,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,212,pure_recycling,0,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,212,pure_recycling,1,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,212,pure_recycling,2,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,48,48,48,unknown,unknown,True
dbr_confirmatory_211_213,212,soft_pvf_noisy_keep,0,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,48,48,48,unknown,unknown,True
dbr_confirmatory_211_213,212,soft_pvf_noisy_keep,1,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,212,soft_pvf_noisy_keep,2,outputs\runs\dbr_confirmatory_seed212_20260428_230709,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,dbr_medium,0,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,dbr_medium,1,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,dbr_medium,2,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,pure_recycling,0,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,pure_recycling,1,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,pure_recycling,2,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,soft_pvf_noisy_keep,0,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,soft_pvf_noisy_keep,1,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_confirmatory_211_213,213,soft_pvf_noisy_keep,2,outputs\runs\dbr_confirmatory_seed213_20260430_115105,50,50,50,50,50,50,unknown,unknown,False
dbr_only_221_223,221,dbr_medium,0,outputs\runs\dbr_only_confirmatory_seed221_20260430_144427,100,100,100,100,100,100,unknown,unknown,False
dbr_only_221_223,221,dbr_medium,1,outputs\runs\dbr_only_confirmatory_seed221_20260430_144427,100,100,100,100,100,100,unknown,unknown,False
