reference_table,table_type,seed,generation,branch,metric,field_name,reference_value,recomputed_value,abs_diff,status
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,accuracy,pure_value,0.52,0.52,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,accuracy,dbr_value,0.46,0.46,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,accuracy,delta_dbr_minus_pure,-0.06,-0.06,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,pedagogical_score,pure_value,5.14,5.14,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,pedagogical_score,dbr_value,4.98,4.98,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,pedagogical_score,delta_dbr_minus_pure,-0.1599999999999992,-0.1599999999999992,5.551115123125783e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,silent_error_rate,pure_value,0.3,0.3,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,silent_error_rate,dbr_value,0.28,0.28,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,211,2,,silent_error_rate,delta_dbr_minus_pure,-0.0199999999999999,-0.0199999999999999,6.245004513516506e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,212,2,,accuracy,pure_value,0.3125,0.3125,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,212,2,,accuracy,dbr_value,0.4,0.4,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,212,2,,accuracy,delta_dbr_minus_pure,0.0875,0.0875,2.775557561562892e-17,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,212,2,,pedagogical_score,pure_value,5.041666666666667,5.041666666666667,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,212,2,,pedagogical_score,dbr_value,4.7,4.7,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,212,2,,pedagogical_score,delta_dbr_minus_pure,-0.3416666666666668,-0.3416666666666668,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,212,2,,silent_error_rate,pure_value,0.2708333333333333,0.2708333333333333,0.0,ok
C:\Users\kiris\Documents\New project\outputs\dbr_confirmatory\dbr_paper_summary_20260430_131103\tables\dbr_paper_summary.csv,dbr_paper_summary_seed_compare,212,2,,silent_error_rate,dbr_value,0.22,0.22,0.0,ok
