family,seed,generation,selected_count,target_size,selection_rate
dbr_confirmatory_211_213,211,0,49,50,0.98
dbr_confirmatory_211_213,211,1,49,50,0.98
dbr_confirmatory_211_213,211,2,49,50,0.98
dbr_confirmatory_211_213,212,0,49,50,0.98
dbr_confirmatory_211_213,212,1,49,50,0.98
dbr_confirmatory_211_213,212,2,49,50,0.98
dbr_confirmatory_211_213,213,0,49,50,0.98
dbr_confirmatory_211_213,213,1,48,50,0.96
dbr_confirmatory_211_213,213,2,48,50,0.96
dbr_only_221_223,221,0,97,100,0.97
dbr_only_221_223,221,1,96,100,0.96
dbr_only_221_223,221,2,97,100,0.97
dbr_only_221_223,222,0,97,100,0.97
dbr_only_221_223,222,1,99,100,0.99
dbr_only_221_223,222,2,98,100,0.98
dbr_only_221_223,223,0,94,100,0.94
dbr_only_221_223,223,1,97,100,0.97
dbr_only_221_223,223,2,94,100,0.94
