file,readable,error
outputs\article_review_bundle_20260430_234323\tables\claim_status_table.csv,True,
outputs\article_review_bundle_20260430_234323\tables\collapse_evidence_pure_by_seed_generation.csv,True,
outputs\article_review_bundle_20260430_234323\tables\collapse_evidence_pure_deltas.csv,True,
outputs\article_review_bundle_20260430_234323\tables\collapse_evidence_summary.csv,True,
outputs\article_review_bundle_20260430_234323\tables\csr_best_vs_worst_quality.csv,True,
outputs\article_review_bundle_20260430_234323\tables\csr_gen2_branch_comparison.csv,True,
outputs\article_review_bundle_20260430_234323\tables\csr_interpretation_summary.csv,True,
outputs\article_review_bundle_20260430_234323\tables\csr_no_pair_reasons.csv,True,
outputs\article_review_bundle_20260430_234323\tables\csr_pair_summary_combined.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_budget_violations.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_defect_before_after.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_gen2_by_seed.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_gen2_summary.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_matched_gen2_comparison.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_mechanism_summary.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_recompute_table_comparison.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_recompute_table_comparison_raw.csv,True,
outputs\article_review_bundle_20260430_234323\tables\dbr_selection_rate.csv,True,
outputs\article_review_bundle_20260430_234323\tables\integrity_summary.csv,True,
outputs\article_review_bundle_20260430_234323\tables\manual_audit_summary.csv,True,
outputs\article_review_bundle_20260430_234323\tables\method_positioning_table.csv,True,
outputs\article_review_bundle_20260430_234323\tables\qwen_dbr_pairwise_by_seed.csv,True,
outputs\article_review_bundle_20260430_234323\tables\qwen_dbr_pairwise_summary.csv,True,
outputs\article_review_bundle_20260430_234323\tables\row_count_consistency.csv,True,
