experiment_family,seed,generation,sample_count,accuracy_mean,pedagogical_score_mean,silent_error_rate,parse_failure_pred_rate,low_reasoning_rate,low_structure_rate,defect_severity_mean
dbr_confirmatory_211_213,211,0,50,0.34,4.38,0.32,0.06,0.58,0.4,4.4
dbr_confirmatory_211_213,211,1,50,0.44,4.82,0.2,0.04,0.48,0.36,3.4
dbr_confirmatory_211_213,211,2,50,0.52,5.14,0.3,0.02,0.42,0.34,3.42
dbr_confirmatory_211_213,212,0,50,0.32,4.82,0.26,0.02,0.5,0.36,3.84
dbr_confirmatory_211_213,212,1,50,0.3,4.3,0.36,0.02,0.62,0.4,4.56
dbr_confirmatory_211_213,212,2,48,0.3125,5.041666666666667,0.2708333333333333,0.020833333333333332,0.5208333333333334,0.3125,3.8958333333333335
dbr_confirmatory_211_213,213,0,50,0.48,4.42,0.26,0.06,0.48,0.44,3.72
dbr_confirmatory_211_213,213,1,50,0.46,5.48,0.24,0.06,0.42,0.28,3.4
dbr_confirmatory_211_213,213,2,50,0.42,4.48,0.3,0.06,0.52,0.4,4.04
dbr_only_221_223,221,0,100,0.37,4.82,0.26,0.02,0.51,0.36,3.76
dbr_only_221_223,221,1,100,0.49,5.62,0.23,0.02,0.37,0.28,3.04
dbr_only_221_223,221,2,100,0.4,4.45,0.27,0.0,0.55,0.41,3.79
dbr_only_221_223,222,0,100,0.44,4.67,0.26,0.02,0.46,0.39,3.55
dbr_only_221_223,222,1,100,0.4,4.62,0.31,0.03,0.49,0.4,3.94
dbr_only_221_223,222,2,100,0.36,4.87,0.23,0.03,0.47,0.37,3.63
dbr_only_221_223,223,0,100,0.41,4.51,0.26,0.01,0.51,0.41,3.69
dbr_only_221_223,223,1,100,0.44,4.9,0.22,0.04,0.45,0.37,3.43
dbr_only_221_223,223,2,100,0.46,5.15,0.19,0.01,0.41,0.34,3.04
