run_dir,model_dir,branch,generation,model_outputs_rows,answer_extraction_rows,accuracy_rows,judge_rows,judge_failures_rows,eval_merged_rows,synthetic_base_rows,synthetic_train_next_rows,pvf_rejected_rows,soft_pvf_decisions_rows,pvr_decisions_rows,pvr_repair_pairs_rows,extraction_mismatch,accuracy_mismatch,judge_accounting_mismatch
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,anchor_10_replace,0,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,anchor_10_replace,1,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,anchor_10_replace,2,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,anchor_20_append,0,100,100,100,100,0,100,100.0,120.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,anchor_20_append,1,100,100,100,100,0,100,100.0,120.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,anchor_20_append,2,100,100,100,100,0,100,100.0,120.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,pure_recycling,0,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,pure_recycling,1,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,qwen2.5_0.5b,pure_recycling,2,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5_0.5b,anchor_10_replace,0,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5_0.5b,anchor_10_replace,1,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5_0.5b,anchor_10_replace,2,100,100,100,100,0,100,100.0,100.0,,,,,False,False,False
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5_0.5b,anchor_20_append,0,100,100,100,100,0,100,100.0,120.0,,,,,False,False,False
