example_id,is_correct_pure,pedagogical_pure,silent_pure,is_correct_dbr,pedagogical_dbr,silent_dbr
gsm8k_0172dfad4dfc719c,False,8.0,False,False,8.0,False
gsm8k_0282e6150601a032,True,8.0,False,True,8.0,False
gsm8k_031a1404cf2d8d47,True,8.0,False,True,8.0,False
gsm8k_06d773d189af715c,False,6.0,False,False,6.0,True
gsm8k_073a7e51dfec7d61,True,8.0,False,True,8.0,False
gsm8k_09ba9b7016fb4b6c,False,8.0,False,False,8.0,False
gsm8k_0e70d608a3ab8beb,False,6.0,False,False,7.0,False
gsm8k_1a9c79b890fd356d,True,8.0,False,True,8.0,False
gsm8k_27ec813d753cc6d2,False,0.0,False,True,8.0,False
gsm8k_298c1d4d27f4225d,True,8.0,False,True,8.0,False
gsm8k_362ba5928dea6e4f,True,8.0,False,True,8.0,False
gsm8k_3964a3274598c6ef,False,8.0,False,True,8.0,False
gsm8k_3c4bca538004b1b0,True,8.0,False,True,8.0,False
gsm8k_412759603546a32f,True,8.0,False,False,6.0,False
gsm8k_4308959f25e3d2c8,True,8.0,False,False,1.0,True
gsm8k_47e171858569bcf4,False,1.0,True,False,6.0,True
gsm8k_563a19e83bd7c8bd,False,6.0,False,False,8.0,False
gsm8k_5e70d9913fe19b01,True,8.0,False,True,8.0,False
gsm8k_615afdc77a9e7b9c,True,8.0,False,True,8.0,False
gsm8k_65b2f91a2963279c,False,0.0,False,False,0.0,True
gsm8k_6a8ed438cbf7bd69,True,8.0,False,True,8.0,False
gsm8k_6b5950a572d22be9,True,8.0,False,False,6.0,True
gsm8k_6c366dad07104cd1,False,8.0,False,True,8.0,False
gsm8k_7f453236478ea082,False,8.0,False,False,7.0,False
gsm8k_85e50633f83a84b3,False,0.0,False,True,8.0,False
gsm8k_8a09bf12e428bb07,False,1.0,True,True,8.0,False
gsm8k_8c5d9c0bacf906b8,True,8.0,False,True,8.0,False
gsm8k_8d09275ea3ae3059,False,0.0,False,False,0.0,True
gsm8k_9144453208693197,True,8.0,False,True,8.0,False
gsm8k_95aa95e5b4f77e11,False,8.0,False,True,8.0,False
gsm8k_9672edd2708c1045,False,6.0,True,False,0.0,True
gsm8k_a00b168c38a4ed28,True,8.0,False,True,8.0,False
gsm8k_a56288e4bf191787,True,8.0,False,False,6.0,True
gsm8k_a6eac0863ea39d80,False,1.0,True,False,0.0,False
gsm8k_a72b53dd979b83d1,True,8.0,False,True,0.0,False
gsm8k_aa39d37d90fd1fc4,False,0.0,False,False,6.0,False
gsm8k_b2a5f58d3e88df9a,True,8.0,False,False,0.0,False
gsm8k_b539d8ac4d8eea5a,True,8.0,False,True,8.0,False
gsm8k_c234d36d336bf4c3,False,0.0,True,False,0.0,False
gsm8k_ce04090b871bd3e4,False,0.0,True,True,8.0,False
gsm8k_d538a086df90aa6c,True,8.0,False,False,8.0,False
gsm8k_d7e3c4745df3ebe7,True,8.0,False,True,8.0,False
gsm8k_ddf7a67bae6c76c8,False,0.0,True,False,6.0,True
gsm8k_e48477c944aa60d6,False,2.0,True,True,8.0,False
gsm8k_ea64608a8d15e275,False,0.0,True,False,0.0,False
gsm8k_f43d5cd68277f07a,False,0.0,True,False,0.0,False
gsm8k_f50f4996d8a2b2df,True,8.0,False,True,8.0,False
gsm8k_f9d013c31febb0e7,False,0.0,False,True,8.0,False
gsm8k_fb2796666117aba0,False,0.0,False,False,6.0,True
gsm8k_ff74c77042d8ef56,False,0.0,True,False,0.0,False
