seed,branch,generation,sample_count,accuracy_mean,pedagogical_score_mean,silent_error_rate,status
211,pure_recycling,0,50,0.34,4.38,0.32,ok
211,pure_recycling,1,50,0.44,4.82,0.2,ok
211,pure_recycling,2,50,0.52,5.14,0.3,ok
211,dbr_medium,0,50,0.36,5.38,0.28,ok
211,dbr_medium,1,50,0.42,4.92,0.16,ok
211,dbr_medium,2,50,0.46,4.98,0.28,ok
212,pure_recycling,0,50,0.32,4.82,0.26,ok
212,pure_recycling,1,50,0.3,4.3,0.36,ok
212,pure_recycling,2,48,0.3125,5.041666666666667,0.2708333333333333,ok
212,dbr_medium,0,50,0.32,4.78,0.28,ok
212,dbr_medium,1,50,0.42,4.92,0.32,ok
212,dbr_medium,2,50,0.4,4.7,0.22,ok
