run_id,run_dir,seed,model_name,branch,generation,sample_count,accuracy_mean,pedagogical_score_mean,silent_error_rate,parse_failure_pred_count,sample_count_from_accuracy,parse_failure_pred_rate,accuracy_source,evaluation_mode
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,anchor_10_replace,0.0,100,0.51,5.41,0.19,1,100,0.01,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,anchor_10_replace,1.0,100,0.46,5.22,0.17,2,100,0.02,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,anchor_10_replace,2.0,100,0.45,5.11,0.21,2,100,0.02,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,anchor_20_append,0.0,100,0.42,4.85,0.22,5,100,0.05,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,anchor_20_append,1.0,100,0.38,4.84,0.27,3,100,0.03,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,anchor_20_append,2.0,100,0.43,4.87,0.33,2,100,0.02,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,pure_recycling,0.0,100,0.48,5.07,0.25,3,100,0.03,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,pure_recycling,1.0,100,0.35,4.77,0.31,4,100,0.04,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed51_20260422_223453,outputs\runs\anchoring_confirmatory_append_seed51_20260422_223453,51,qwen2.5:0.5b,pure_recycling,2.0,100,0.4,5.33,0.32,0,100,0.0,raw_summary,inference_recycling_only
anchoring_confirmatory_append_seed52_20260423_111039,outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,52,qwen2.5:0.5b,anchor_10_replace,0.0,100,0.44,4.55,0.36,2,100,0.02,raw_summary,inference_recycling_only
