model_name,branch,generation,defect_name,seed_count,rate_before_mean,rate_after_mean,delta_after_minus_before
qwen2.5:0.5b,dbr_medium,0,incorrect_answer,3,0.6066666666666666,0.5901147912553922,-0.0165518754112743
qwen2.5:0.5b,dbr_medium,0,low_reasoning,3,0.4866666666666666,0.4756159976603056,-0.011050669006361
qwen2.5:0.5b,dbr_medium,0,low_structure,3,0.3733333333333333,0.3680997294728376,-0.0052336038604957
qwen2.5:0.5b,dbr_medium,0,parse_failure,3,0.04,0.0,-0.04
qwen2.5:0.5b,dbr_medium,0,silent_error,3,0.2433333333333333,0.2295459530598815,-0.0137873802734517
qwen2.5:0.5b,dbr_medium,1,incorrect_answer,3,0.5866666666666667,0.5747715557638239,-0.0118951109028427
qwen2.5:0.5b,dbr_medium,1,low_reasoning,3,0.4566666666666667,0.455285240723385,-0.0013814259432817
qwen2.5:0.5b,dbr_medium,1,low_structure,3,0.3433333333333333,0.3387830191953903,-0.004550314137943
qwen2.5:0.5b,dbr_medium,1,parse_failure,3,0.0266666666666666,0.0,-0.0266666666666666
qwen2.5:0.5b,dbr_medium,1,silent_error,3,0.2299999999999999,0.2262053524940123,-0.0037946475059876
qwen2.5:0.5b,dbr_medium,2,incorrect_answer,3,0.56,0.5424248664150898,-0.0175751335849102
qwen2.5:0.5b,dbr_medium,2,low_reasoning,3,0.4766666666666666,0.4664109118093387,-0.0102557548573278
qwen2.5:0.5b,dbr_medium,2,low_structure,3,0.3699999999999999,0.3592758884646203,-0.0107241115353796
qwen2.5:0.5b,dbr_medium,2,parse_failure,3,0.0366666666666666,0.0,-0.0366666666666666
qwen2.5:0.5b,dbr_medium,2,silent_error,3,0.2566666666666666,0.2493229360180132,-0.0073437306486534
