source_run_dir,source_step_dir,run_id,branch,generation,model_name,example_id,qwen_judge_provider,qwen_judge_model,qwen_clarity,qwen_structure,qwen_terminology,qwen_reasoning_soundness,qwen_overall_pedagogical_score,qwen_is_silent_error,qwen_comment,qwen_repair_applied,qwen_repair_actions
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,0,qwen2.5:0.5b,gsm8k_784bbbb645ba479f,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,Incorrect calculation and confused logic; answer does not match the question asked,False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,0,qwen2.5:0.5b,gsm8k_81d7552fb9d99405,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,2,0,4,True,Incorrect final answer due to flawed reasoning despite clear explanation,False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,0,qwen2.5:0.5b,gsm8k_6c366dad07104cd1,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, structured, and accurate with correct terminology and sound reasoning.",False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,0,qwen2.5:0.5b,gsm8k_b084a599b5187cf9,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, and accurate solution with proper algebraic reasoning and no errors.",False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,0,qwen2.5:0.5b,gsm8k_6b159ab8328a8ad6,cerebras,qwen-3-235b-a22b-instruct-2507,0,0,0,0,0,True,"The model incorrectly calculates the cost of a dozen and compares wrong quantities, leading to a nonsensical negative saving.",False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,0,qwen2.5:0.5b,gsm8k_924da94694f884fb,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,Incorrect reasoning leads to wrong answer despite clear steps and structure,False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_mode_compare_training_seed61_20260425_135513,pure_recycling,0,qwen2.5:0.5b,gsm8k_0cd1a21f74e973df,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, and accurate reasoning with correct terminology and no errors.",False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,0,qwen2.5:0.5b,gsm8k_85e50633f83a84b3,cerebras,qwen-3-235b-a22b-instruct-2507,0,1,0,0,1,True,Model confuses pen colors and miscalculates totals with incorrect logic and additions.,False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,0,qwen2.5:0.5b,gsm8k_da5cf3e41f9c70ee,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,Incorrect calculation of total money and misinterpretation of spending on jewelry,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,0,qwen2.5:0.5b,gsm8k_a1d02c8b1ef9543b,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
