source_run_dir,source_step_dir,source_seed,run_id,branch,generation,model_name,example_id,qwen_judge_provider,qwen_judge_model,qwen_clarity,qwen_structure,qwen_terminology,qwen_reasoning_soundness,qwen_overall_pedagogical_score,qwen_is_silent_error,qwen_comment,qwen_repair_applied,qwen_repair_actions
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_72861951c495a29c,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,Incorrect calculation and logic; misinterprets sheep and goats as separate counts,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_a1d02c8b1ef9543b,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,1,7,True,Solution contains a critical calculation error in variable substitution leading to wrong final answer,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_b214592673a94bf7,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured explanation with correct reasoning and proper terminology usage.",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_a6eac0863ea39d80,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correct steps but wrong leaf count due to using 400 leaves instead of 24000 per tree,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_1272bd82df9a0426,cerebras,qwen-3-235b-a22b-instruct-2507,0,0,0,0,0,True,The model output is incorrect and lacks any reasoning or explanation.,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_e181b20fdc799673,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,"The model incorrectly calculates rotations and misunderstands the problem scope, leading to a wrong answer.",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_709baff43514df94,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,2,0,4,True,Incorrect distance calculation; forgot round trip for work commutes,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_a31e424584aadb3a,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,Incorrect calculation and flawed reasoning despite clear step-by-step explanation,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_c234d36d336bf4c3,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,Incorrect deficit calculation and wrong sign handling leading to erroneous reasoning despite correct final number,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_3c4bca538004b1b0,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,2,0,4,True,Incorrect conclusion due to wrong subtraction order and misleading final statement,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_df4fa9a43d44f0c5,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_fb2796666117aba0,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correct steps but wrong final answer due to logical error in setup,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_81d7552fb9d99405,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,2,0,4,True,Incorrect reasoning due to misinterpreting Dallas's current and original marble counts,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_ae155e5cb7acdf42,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_7881d1b460375c50,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,"The model incorrectly sets up the equation and arrives at a negative number of fleas, which is impossible.",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_f7344564aacafdad,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,0,0,2,True,"Incorrectly swaps Liam and Mitchell and uses wrong data, leading to false conclusion",False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b__pure_recycling__ft_g1_s72\pure_recycling\gen_1,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_4f92ecf7951a45cb,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Solution incorrectly ignores dropped marshmallows and miscalculates remaining s'mores,False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b__pure_recycling__ft_g1_s72\pure_recycling\gen_1,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_3598f5bfbc235ba7,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correct steps but final calculation error due to multiplying profit by students again,False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b__pure_recycling__ft_g1_s72\pure_recycling\gen_1,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_563a19e83bd7c8bd,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correctly structured and clear but contains a critical error in time-unit conversion leading to wrong result,False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b__pure_recycling__ft_g1_s72\pure_recycling\gen_1,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_f43d5cd68277f07a,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,2,1,5,True,Incorrect final answer due to missing apple eaten during walk home,False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b__pure_recycling__ft_g1_s72\pure_recycling\gen_1,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_b2a5f58d3e88df9a,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, correct, and well-structured explanation with accurate reasoning and proper terminology.",False,
