pair_id,source_run_dir,source_seed,run_id,generation,model_name,example_id,A_branch,B_branch
dbr_pair_0001,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_0282e6150601a032,pure_recycling,dbr_medium
dbr_pair_0002,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_073a7e51dfec7d61,dbr_medium,pure_recycling
dbr_pair_0003,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_0e70d608a3ab8beb,dbr_medium,pure_recycling
dbr_pair_0004,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_298c1d4d27f4225d,dbr_medium,pure_recycling
dbr_pair_0005,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_32eb0ee54b829238,dbr_medium,pure_recycling
dbr_pair_0006,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_6c366dad07104cd1,dbr_medium,pure_recycling
dbr_pair_0007,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_7356e0f6254c1d60,dbr_medium,pure_recycling
dbr_pair_0008,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_a31e424584aadb3a,pure_recycling,dbr_medium
dbr_pair_0009,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_a6bc5bbf03bbf7df,dbr_medium,pure_recycling
dbr_pair_0010,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_b214592673a94bf7,pure_recycling,dbr_medium
dbr_pair_0011,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_c234d36d336bf4c3,pure_recycling,dbr_medium
dbr_pair_0012,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_d417056b2fb0a491,dbr_medium,pure_recycling
dbr_pair_0013,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_e7f1386dbe5d6a66,dbr_medium,pure_recycling
dbr_pair_0014,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_efe0f2dadeb8f35f,dbr_medium,pure_recycling
dbr_pair_0015,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_f7344564aacafdad,dbr_medium,pure_recycling
dbr_pair_0016,outputs\runs\dbr_confirmatory_seed211_20260428_222918,211,dbr_confirmatory_seed211_20260428_222918,2,qwen2.5:0.5b,gsm8k_f82367dd28b2e04a,dbr_medium,pure_recycling
dbr_pair_0017,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_0282e6150601a032,dbr_medium,pure_recycling
dbr_pair_0018,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_05ae11a96390f2ab,pure_recycling,dbr_medium
dbr_pair_0019,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_06065e55731f16a9,pure_recycling,dbr_medium
dbr_pair_0020,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_073a7e51dfec7d61,dbr_medium,pure_recycling
dbr_pair_0021,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_3964a3274598c6ef,dbr_medium,pure_recycling
