model_name,branch,generation,sample_count,accuracy_mean,pedagogical_score_mean,silent_error_rate,accuracy_source,parse_failure_pred_count,sample_count_from_accuracy,parse_failure_pred_rate,run_id,run_dir,seed,evaluation_mode
qwen2.5:0.5b,anchor_20_append,0.0,50,0.46,5.38,0.2,raw_summary,2,50,0.04,mode_compare_inference_seed61_20260424_200720,outputs\runs\mode_compare_inference_seed61_20260424_200720,61,inference_recycling_only
qwen2.5:0.5b,anchor_20_append,1.0,50,0.52,5.4,0.26,raw_summary,2,50,0.04,mode_compare_inference_seed61_20260424_200720,outputs\runs\mode_compare_inference_seed61_20260424_200720,61,inference_recycling_only
qwen2.5:0.5b,pure_recycling,0.0,50,0.54,5.58,0.26,raw_summary,2,50,0.04,mode_compare_inference_seed61_20260424_200720,outputs\runs\mode_compare_inference_seed61_20260424_200720,61,inference_recycling_only
qwen2.5:0.5b,pure_recycling,1.0,50,0.6,5.9,0.2,raw_summary,2,50,0.04,mode_compare_inference_seed61_20260424_200720,outputs\runs\mode_compare_inference_seed61_20260424_200720,61,inference_recycling_only
qwen2.5:0.5b,anchor_20_append,0.0,50,0.44,5.2,0.14,raw_summary,2,50,0.04,mode_compare_inference_seed62_20260425_134516,outputs\runs\mode_compare_inference_seed62_20260425_134516,62,inference_recycling_only
qwen2.5:0.5b,anchor_20_append,1.0,50,0.4,5.38,0.24,raw_summary,2,50,0.04,mode_compare_inference_seed62_20260425_134516,outputs\runs\mode_compare_inference_seed62_20260425_134516,62,inference_recycling_only
qwen2.5:0.5b,pure_recycling,0.0,50,0.34,5.02,0.28,raw_summary,1,50,0.02,mode_compare_inference_seed62_20260425_134516,outputs\runs\mode_compare_inference_seed62_20260425_134516,62,inference_recycling_only
qwen2.5:0.5b,pure_recycling,1.0,50,0.44,5.16,0.24,raw_summary,2,50,0.04,mode_compare_inference_seed62_20260425_134516,outputs\runs\mode_compare_inference_seed62_20260425_134516,62,inference_recycling_only
qwen2.5:0.5b,anchor_20_append,0.0,50,0.46,5.74,0.24,training_feasibility_summary,2,50,0.04,mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513,61,training_recycling_feasibility
qwen2.5:0.5b,anchor_20_append,1.0,50,0.54,5.0,0.2,training_feasibility_summary,2,50,0.04,mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513,61,training_recycling_feasibility
qwen2.5:0.5b,pure_recycling,0.0,50,0.5,5.36,0.24,training_feasibility_summary,0,50,0.0,mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513,61,training_recycling_feasibility
qwen2.5:0.5b,pure_recycling,1.0,50,0.42,4.98,0.22,training_feasibility_summary,2,50,0.04,mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513,61,training_recycling_feasibility
qwen2.5:0.5b,anchor_20_append,0.0,50,0.5,5.16,0.22,training_feasibility_summary,2,50,0.04,mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453,62,training_recycling_feasibility
qwen2.5:0.5b,anchor_20_append,1.0,50,0.44,5.1,0.26,training_feasibility_summary,5,50,0.1,mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453,62,training_recycling_feasibility
qwen2.5:0.5b,pure_recycling,0.0,50,0.48,5.02,0.24,training_feasibility_summary,0,50,0.0,mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453,62,training_recycling_feasibility
qwen2.5:0.5b,pure_recycling,1.0,50,0.48,4.88,0.16,training_feasibility_summary,4,50,0.08,mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453,62,training_recycling_feasibility
