run_id,run_dir,seed,model_name,branch,generation,sample_count,accuracy_mean,pedagogical_score_mean,silent_error_rate,parse_failure_pred_count,sample_count_from_accuracy,parse_failure_pred_rate,accuracy_source,evaluation_mode
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,anchor_20_append,0.0,50,0.42,5.34,0.16,3,50,0.06,raw_summary,inference_recycling_only
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,anchor_20_append,1.0,50,0.46,4.92,0.2,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,anchor_20_append,2.0,50,0.42,4.36,0.32,4,50,0.08,raw_summary,inference_recycling_only
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,pure_recycling,0.0,50,0.44,4.7,0.22,0,50,0.0,raw_summary,inference_recycling_only
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,pure_recycling,1.0,50,0.36,3.58,0.28,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,pure_recycling,2.0,50,0.48,4.62,0.18,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,pvf_medium,0.0,50,0.42,5.02,0.16,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,pvf_medium,1.0,50,0.44,4.46,0.22,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed91_20260427_094105,outputs\runs\pvf_confirmatory_seed91_20260427_094105,91,qwen2.5:0.5b,pvf_medium,2.0,50,0.54,4.7,0.28,3,50,0.06,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,anchor_20_append,0.0,50,0.38,4.78,0.2,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,anchor_20_append,1.0,50,0.36,4.56,0.24,5,50,0.1,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,anchor_20_append,2.0,50,0.44,4.34,0.2,2,50,0.04,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,pure_recycling,0.0,50,0.52,5.96,0.28,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,pure_recycling,1.0,50,0.4,5.22,0.28,2,50,0.04,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,pure_recycling,2.0,50,0.46,5.38,0.24,2,50,0.04,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,pvf_medium,0.0,50,0.42,5.0,0.34,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,pvf_medium,1.0,50,0.42,4.8,0.18,0,50,0.0,raw_summary,inference_recycling_only
pvf_confirmatory_seed92_20260427_100222,outputs\runs\pvf_confirmatory_seed92_20260427_100222,92,qwen2.5:0.5b,pvf_medium,2.0,50,0.44,4.98,0.26,1,50,0.02,raw_summary,inference_recycling_only
pvf_confirmatory_seed93_20260427_102402,outputs\runs\pvf_confirmatory_seed93_20260427_102402,93,qwen2.5:0.5b,anchor_20_append,0.0,50,0.4,5.18,0.3,1,50,0.02,raw_summary,inference_recycling_only
